Train,From,Class,Engine,Destination,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,300,121,122,168,169,170,171,172,173,123,124,125,126,127,128,129,130,131,132,133,134,135,136,305,137,301,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,174,175,176,177,178,179,180,181,182
07:26,Orpington,Pass,EMU,Holbourn Viaduct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P07.31,,S07.33,,S07.35/07.36,,S07.38,,S07.42,,,S07.44,S07.46,S07.49,S07.51,,,S07.53,,,,,,,,,,,,,,,
07:27,Gillingham,pass,EMU,Cannon St,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S07.27,S07.30/07.32,,S07.33/07.34,,,T07.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07:34,Bickey,Pass,EMU,Holbourn Viaduct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S07.34,,S07.36/07.37,,T07.40,,,,,,,,,,,,,,,,,,,,,,,,,,,
07:35,Birkenhead,xp,V4-4-0,Margate,S16.32,,S16.36,S16.40,T16.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07:35,Ramsgate,XP,WC,Cannon St,S07.35,,S07.39,S07.43,,S07.49/07.51,S07.56,S08.01,,,S08.12/08.13,,S08.18,S08.23,,P08.33,,,,P08.40,,,,,,,,,,,,,,,P08.52,,P08.53,,,P08.54,,,P09.05,,,,,,,P09.15,,T09.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07:36,Maidstone,Pass,2-6-2T,Margate,S09.37,,S09.41,S09.45,T09.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07:40,Maidstone,pass,EMU,Victoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S08.16,,S08.21,,,,,P08.25,,P08.27,,,P08.29,,,,,,,,S08.38,,,P08.40,,,,T08.46,,,,,,,,,
07:42,Dover,Pass,U1 2-6-0,Chatham,,,,,,,,,,,,,,,,,S08.39/08.48,S08.57,,S09.03/09.05,,,,,,,,,,,S09.12,S09.18,S09.23/09.25,,,T09.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S07.42,S07.48,S07.56,S08.01,S08.04,S08.07,S08.13,S08.18/08.250,S08.33
07:42,Orpington,Pass,EMU,Victoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P07.47,,S07.48,,S07.50/07.51,,S07.54,,S07.57,,,S07.59,S08.01,S08.04,S08.06,,,S08.08,,S08.11,,,,T08.16,,,,,,,,,
07:42,Sevenoaks,pass,EMU,Holbourn Viaduct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S08.04,S08.09,,,S08.14,,S08.16/08.17,,S08.20,,,,,,,,,,,,,,,,,,,,,,,,,,,
07:43,Gillingham,pass,EMU,Holbourn Viaduct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S07.43,S07.46/07.48,,S07.49/07.50,,,P07.52,,,S08.02,,S08.05,S08.09,,S08.14,,S08.20,,,,,,S08.30/08.31,,S08.34,,,,,,,,,,,,,,,,,,,,,,,,,,,
07:47,Orpington,Pass,EMU,Holbourn Viaduct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P07.52,,S07.54,,S07.55/07.56,,S07.59,,S08.02,,,S08.04,S08.06,S08.09,S08.11,,,S08.13,,,,,,,,,,,,,,,
07:48,Sittingbourne,pass,2-6-2T,Sheerness,,,,,,,,,,,,,,,,,,,,S07.48,,P07.49,P07.50,,,,,S07.59,T08.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07:50,Gillingham,pass,EMU,Charing Cross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S07.50,S07.53/07.56,,S07.57/08.58,,,T07.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07:51,Ashford,Pass,2-6-2T,Faversham,,,,,,,,,,,,,,,,T09.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S08.46,S08.52,S08.59,S09.04,S09.07,S09.10,S09.16,S09.21/09.22,S09.35
07:51,Orpington,Pass,EMU,Victoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P07.56,,S07.59,,S08.00/08.01,,S08.03,,S08.06,,,S08.08,S08.10,S08.13,S08.15,,,S08.18,,S08.20,,,,T08.25,,,,,,,,,
07:54,Maidstone,Pass,EMU,Victoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S08.39,,S08.44,,,,,S08.51/08.53,,P08.55,,P08.56,,,,,,,,,,,,P09.08,,,,T09.14,,,,,,,,,
08:00,Orpington,pass,EMU,Victoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P08.05,,S08.08,,S08.09/08.10,,S08.13,,S08.16,,,S08.18,S08.20,S08.23,S08.26,,,S08.28,,S08.30,,,,T08.36,,,,,,,,,
